Time,x,y,z,alpha,beta,gamma,xdot,ydot,zdot,alphadot,betadot,gammadot,u1,u2,u3,u4
7.8978978978979,1.28694151756668e-09,-1.12088969592114e-09,0.036501894308618,1.93702483869735e-08,2.18466086663841e-08,0.558831073002187,1.39589450585831e-09,-1.75021616651278e-09,-8.79024924817721e-11,3.01772775336665e-08,2.34590999711828e-08,0.0699451723387693,-1.79079158389842e-06,1.50429651771953e-06,1.78991139110496e-06,-1.50517671051298e-06
7.90790790790791,1.30074056090988e-09,-1.13828632216898e-09,0.0365018943077419,1.96701938800427e-08,2.20784671839499e-08,0.559531224877282,1.40961153329316e-09,-1.77441800461979e-09,-8.9174024814196e-11,3.05940383364957e-08,2.3686444237136e-08,0.069945172317091,-1.81077695139692e-06,1.52743844521427e-06,1.80988402671851e-06,-1.52833136989268e-06
7.91791791791792,1.31453960425308e-09,-1.15568294841683e-09,0.0365018943068657,1.99701393731119e-08,2.23103257015157e-08,0.560231376752377,1.42332856072802e-09,-1.79861984272679e-09,-9.04455571466199e-11,3.10107991393249e-08,2.39137885030892e-08,0.0699451722954126,-1.83076231889548e-06,1.55058037270897e-06,1.82985666233201e-06,-1.55148602927244e-06
7.92792792792793,1.32833864759629e-09,-1.17307957466468e-09,0.0365018943059896,2.02700848661811e-08,2.25421842190815e-08,0.560931528627473,1.43704558816287e-09,-1.82282168083379e-09,-9.17170894790438e-11,3.14275599421541e-08,2.41411327690425e-08,0.0699451722737343,-1.85074768639398e-06,1.57372230020371e-06,1.84982929794555e-06,-1.57464068865214e-06
7.93793793793794,1.34213769093949e-09,-1.19047620091252e-09,0.0365018943051134,2.05700303592503e-08,2.27740427366473e-08,0.561631680502568,1.45076261559772e-09,-1.8470235189408e-09,-9.29886218114677e-11,3.18443207449833e-08,2.43684770349957e-08,0.0699451722520559,-1.87073305389248e-06,1.59686422769846e-06,1.8698019335591e-06,-1.59779534803184e-06
7.94794794794795,1.35593673428269e-09,-1.20787282716037e-09,0.0365018943042372,2.08699758523194e-08,2.30059012542131e-08,0.562331832377663,1.46447964303257e-09,-1.8712253570478e-09,-9.42601541438915e-11,3.22610815478125e-08,2.45958213009489e-08,0.0699451722303776,-1.89071842139098e-06,1.62000615519321e-06,1.88977456917265e-06,-1.62095000741154e-06
7.95795795795796,1.36973577762589e-09,-1.22526945340821e-09,0.0365018943033611,2.11699213453886e-08,2.32377597717789e-08,0.563031984252758,1.47819667046743e-09,-1.8954271951548e-09,-9.55316864763154e-11,3.26778423506417e-08,2.48231655669022e-08,0.0699451722086993,-1.91070378888948e-06,1.64314808268795e-06,1.90974720478619e-06,-1.64410466679124e-06
7.96796796796797,1.38353482096909e-09,-1.24266607965606e-09,0.0365018943024849,2.14698668384578e-08,2.34696182893447e-08,0.563732136127853,1.49191369790228e-09,-1.9196290332618e-09,-9.68032188087393e-11,3.3094603153471e-08,2.50505098328554e-08,0.0699451721870209,-1.93068915638804e-06,1.66629001018264e-06,1.92971984039969e-06,-1.66725932617099e-06
7.97797797797798,1.39733386431229e-09,-1.2600627059039e-09,0.0365018943016088,2.1769812331527e-08,2.37014768069105e-08,0.564432288002948,1.50563072533713e-09,-1.94383087136881e-09,-9.80747511411632e-11,3.35113639563002e-08,2.52778540988086e-08,0.0699451721653426,-1.95067452388654e-06,1.68943193767739e-06,1.94969247601324e-06,-1.69041398555069e-06
7.98798798798799,1.41113290765549e-09,-1.27745933215175e-09,0.0365018943007326,2.20697578245961e-08,2.39333353244763e-08,0.565132439878044,1.51934775277198e-09,-1.96803270947581e-09,-9.93462834735871e-11,3.39281247591294e-08,2.55051983647619e-08,0.0699451721436642,-1.97065989138504e-06,1.71257386517214e-06,1.96966511162678e-06,-1.71356864493039e-06
7.997997997998,1.42493195099869e-09,-1.29485595839959e-09,0.0365018942998564,2.23697033176653e-08,2.41651938420421e-08,0.565832591753139,1.53306478020683e-09,-1.99223454758281e-09,-1.00617815806011e-10,3.43448855619586e-08,2.57325426307151e-08,0.0699451721219859,-1.99064525888354e-06,1.73571579266688e-06,1.98963774724033e-06,-1.73672330431009e-06
8.00800800800801,1.43873099434189e-09,-1.31225258464744e-09,0.0365018942989803,2.26696488107345e-08,2.43970523596079e-08,0.566532743628234,1.54678180764169e-09,-2.01643638568982e-09,-1.01889348138435e-10,3.47616463647878e-08,2.59598868966684e-08,0.0699451721003076,-2.0106306263821e-06,1.75885772016158e-06,2.00961038285383e-06,-1.75987796368985e-06
8.01801801801802,1.4525300376851e-09,-1.32964921089529e-09,0.0365018942981041,2.29695943038037e-08,2.46289108771737e-08,0.567232895503329,1.56049883507654e-09,-2.04063822379682e-09,-1.03160880470859e-10,3.5178407167617e-08,2.61872311626216e-08,0.0699451720786292,-2.0306159938806e-06,1.78199964765633e-06,2.02958301846738e-06,-1.78303262306955e-06
