Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
13090143,-0.2772,-0.1751,-19.0072,-18.1026,4.0080,56.91,20.51,-0.0613,0.1172,-0.2075,0.2806
13109312,-0.3380,-0.2439,-19.1599,-36.7139,-27.7787,84.03,61.93,-0.6398,0.6806,-0.2161,0.2419
13128481,-0.3092,-0.1662,-18.9681,-16.0805,-7.1962,59.37,30.47,-0.4290,0.4699,-0.0656,0.1624
13147651,-0.2616,-0.2205,-19.0493,-14.6748,14.9700,51.30,15.90,-0.2247,0.2548,-0.3387,0.4075
13166822,-0.2231,-0.3536,-19.1197,4.7893,-3.2861,26.44,52.79,-0.3624,0.3903,-0.3237,0.4828
13185992,-0.2940,-0.2130,-19.0786,-6.6944,41.7997,47.85,-11.98,-0.3172,0.3258,-0.2656,0.4011
13205161,-0.1637,-0.4500,-19.1902,-4.5329,-29.9747,27.45,92.98,0.0871,-0.0720,-0.5452,0.6935
13224332,-0.2299,-0.3275,-19.1272,-12.1212,26.8684,44.31,18.99,-0.1151,0.1237,-0.2785,0.3860
13243502,-0.1936,-0.4327,-19.1916,10.8733,-30.5420,16.23,91.13,0.1473,-0.1366,-0.4742,0.6247
13262672,-0.2557,-0.3947,-19.1957,-5.0697,1.9714,40.86,53.28,-0.2247,0.2161,-0.2075,0.3473
13281843,-0.3196,-0.4023,-19.1948,-21.1887,-3.3724,65.94,59.70,-0.4548,0.4505,-0.5452,0.6892
13301013,-0.1844,-0.3783,-19.1473,10.7482,-4.1988,15.07,57.16,-0.0075,0.0333,-0.4161,0.5753
13320184,-0.2272,-0.4390,-19.2125,-1.9440,-10.5676,33.75,72.02,-0.1516,0.1645,-0.3258,0.5129
13339355,-0.2079,-0.4730,-19.1220,25.1757,-8.5838,3.93,74.80,-0.3925,0.4118,-0.3645,0.6054
13358526,-0.2589,-0.4020,-19.1413,9.6659,-2.2102,26.58,58.49,-0.4570,0.4935,-0.2828,0.5581
13377696,-0.3100,-0.4472,-19.2913,-35.9549,5.1610,79.35,57.44,-0.2806,0.3194,-0.4527,0.7022
13396866,-0.2504,-0.4205,-19.0929,-8.1027,26.5514,43.16,32.32,-0.2613,0.2892,-0.4785,0.7430
13416037,-0.2191,-0.4518,-19.1410,-3.1218,5.0393,33.79,58.21,-0.3495,0.3387,-0.3409,0.5258
13435206,-0.1445,-0.4521,-19.1799,30.2969,-4.3797,-10.06,67.68,-0.0978,0.0742,-0.3301,0.5086
13454376,-0.2830,-0.4332,-19.1783,-25.1536,28.6572,64.77,31.99,-0.2935,0.2871,-0.5065,0.7430
13473547,-0.1707,-0.4351,-19.1602,15.3880,-0.9874,8.51,61.90,0.0548,-0.0591,-0.2355,0.4097
13492717,-0.2297,-0.5476,-19.0833,35.5733,-30.5130,-3.41,107.18,-0.4548,0.4441,-0.4591,0.6892
13511887,-0.2417,-0.5557,-19.1328,7.9141,-21.0346,25.93,98.84,-0.3086,0.2978,-0.5194,0.7946
13531057,-0.3120,-0.5558,-19.2883,5.0927,-6.8275,38.59,84.64,-0.6527,0.6247,-0.5086,0.8183
13550228,-0.2335,-0.5007,-19.2295,7.3610,5.7156,25.33,64.38,-0.3602,0.3559,-0.3753,0.6355
13569397,-0.2831,-0.5555,-19.1249,-6.4718,13.3008,46.11,64.48,-0.5043,0.5108,-0.4484,0.6269
13588568,-0.2365,-0.5709,-19.1971,-4.9618,-4.1440,38.07,84.08,-0.2742,0.2914,-0.6570,0.9366
13607738,-0.3546,-0.5713,-19.1207,-23.9236,-31.6222,73.57,111.60,-0.3258,0.3473,-0.6032,0.7839
13626908,-0.1853,-0.5879,-19.0093,15.6768,-27.3715,10.26,109.68,-0.3108,0.3473,-0.4828,0.7258
13646079,-0.3258,-0.4968,-19.0453,-6.9201,15.6108,52.53,53.95,-0.5000,0.5409,-0.3925,0.6656
13665249,-0.1829,-0.4292,-19.0984,37.8082,35.4880,-12.21,24.60,-0.3215,0.3000,-0.2720,0.4978
13684419,-0.2286,-0.5757,-18.9572,-17.9824,-4.0520,49.98,84.65,-0.3495,0.3882,-0.5065,0.7860
13703589,-0.2975,-0.5034,-18.8958,-53.9937,7.3829,95.64,63.10,-0.4742,0.5172,-0.3409,0.5753
13722759,-0.1953,-0.5319,-18.9780,5.6225,1.8260,21.72,72.64,-0.3215,0.3409,-0.5215,0.8075
13741929,-0.0803,-0.5321,-18.9563,9.8589,6.0627,1.39,68.43,0.2032,-0.1946,-0.7323,1.0032
13761099,-0.0696,-0.4351,-19.1646,13.2219,-3.5325,-3.48,64.44,0.0957,-0.0849,-0.2398,0.3968
13780269,-0.1483,-0.3819,-19.1112,4.7916,19.0604,15.96,34.41,-0.2054,0.1989,-0.2591,0.4634
